,brand,store,sido,gungu,address,phone
0,cheogajip,당산점,서울,영등포구,서울 영등포구 선유로53길10,02-2633-9282
1,cheogajip,루원시티점,인천,서구,인천 서구 청중로478번길24,032-566-3977
2,cheogajip,안정점,경남,통영시,경남 통영시 광도면 안정1길42,055-649-5585
3,cheogajip,의정부중앙점,경기,의정부시,경기 의정부시 태평로135,031-848-3999
4,cheogajip,대구상동점,대구,수성구,대구 수성구 상화로47,053-768-7776
5,cheogajip,미아역점,서울,강북구,서울 강북구 도봉로146,02-981-8888
6,cheogajip,범박점,경기,부천시,경기 부천시 소사구 양지남로51번길7-7,032-344-1145
7,cheogajip,송도레이크점,인천,연수구,인천 연수구 아카데미로312번길177,032-833-8323
8,cheogajip,부산역점,부산,동구,부산 동구 초량로 46-2 (초량동),051-441-7922
9,cheogajip,자양우송대점,대전,동구,대전 동구 대동로12,042-622-5144
10,cheogajip,신대점,전남,순천시,전남 순천시 해룡면 신대로10,061-727-9282
11,cheogajip,성주가천점,경북,성주군,경북 성주군 가천면 창금로317,054-932-9282
12,cheogajip,본리점,대구,달서구,대구 달서구 구마로230,053-652-5222
13,cheogajip,별내점,경기,남양주시,경기 남양주시 별내동1007-4,031-528-1282
14,cheogajip,대련점,경북,포항시,경북 포항시 북구 흥해읍 연화길12,054-261-4327
15,cheogajip,대구중리점,대구,서구,대구 서구 국채보상로34길12,053-559-9989
16,cheogajip,노은점,대전,유성구,대전 유성구 은구비남로33번길5,042-710-8989
17,cheogajip,고곡점,경남,창녕군,경남 창녕군 남지읍 고곡길2,055-536-3710
18,cheogajip,개포점,서울,강남구,서울 강남구 논현로16길10-3,02-529-5557
19,cheogajip,양평역점,서울,영등포구,서울 영등포구 영등포로55,02-2675-7787
20,cheogajip,연제점,부산,연제구,부산 연제구 안연로30,051-715-8288
21,cheogajip,나사렛역점,충남,천안시,충남 천안시 서북구 쌍용19로21,041-571-9292
22,cheogajip,광교웰빙타운점,경기,수원시,경기 수원시 영통구 대학로101,031-216-8818
23,cheogajip,만수시장점,인천,남동구,인천 남동구 만수로7,032-465-7479
24,cheogajip,산본역점,경기,군포시,경기 군포시 번영로495,031-391-7776
25,cheogajip,경성부경대점,부산,남구,부산 남구 수영로266번길108,051-256-8066
26,cheogajip,송산효자점,경기,의정부시,경기 의정부시 부용로 207-1,031-928-6633
27,cheogajip,거여점,서울,송파구,서울 송파구 오금로64길3,02-402-9288
28,cheogajip,신월남부점,서울,양천구,서울 양천구 오목로15,02-2694-0310
29,cheogajip,화곡역점,서울,강서구,서울 강서구 화곡로31다길20,02-2604-2299
30,cheogajip,영통구청점,경기,수원시,경기 수원시 영통구 인계로292번길42-5,031-212-3451
31,cheogajip,백양점,부산,부산진구,부산 부산진구 개금본동로17번길10,051-987-1059
32,cheogajip,논산내동점,충남,논산시,충남 논산시 시민로132번길48,041-733-9982
33,cheogajip,성본점,충북,음성군,충북 음성군 대소면 성본상가로49,043-877-8292
34,cheogajip,죽변항점,경북,울진군,경북 울진군 죽변면 죽변중앙로168-58,054-782-8259
35,cheogajip,복현점,대구,북구,대구 북구 동북로61길11-2,053-944-8292
36,cheogajip,만촌점,대구,수성구,대구 수성구 만촌로49-2,053-741-7779
37,cheogajip,대구불로점,대구,동구,대구 동구 팔공로31길6-3,053-985-1839
38,cheogajip,대구시청점,대구,중구,대구 중구 경상감영길227,053-255-3303
39,cheogajip,공릉점,서울,노원구,서울 노원구 동일로173가길64,02-971-9282
40,cheogajip,신촌점,서울,서대문구,서울 서대문구 이화여대3길27,02-363-9282
41,cheogajip,목행점,충북,충주시,충북 충주시 행정9길32,043-723-1315
42,cheogajip,고한사북점,강원,정선군,강원 정선군 고한읍 고한2길55,033-591-4477
43,cheogajip,둔내점,강원,횡성군,강원 횡성군 둔내면 둔내로56,033-344-9192
44,cheogajip,엄궁점,부산,사상구,부산 사상구 대동로40,051-322-5785
45,cheogajip,통진점,경기,김포시,경기 김포시 통진읍 마송1로9,031-996-2221
46,cheogajip,대림점,서울,영등포구,서울 영등포구 디지털로397,02-833-8292
47,cheogajip,원미점,경기,부천시,경기 부천시 원미구 조종로7번길33,032-666-6668
48,cheogajip,광명소하점,경기,광명시,경기 광명시 소하로92번길12,02-899-5589
49,cheogajip,산곡점,인천,부평구,인천 부평구 화랑북로7,032-513-8882
50,cheogajip,동수역점,인천,부평구,인천 부평구 동수로7,032-501-9341
51,cheogajip,사송점,경남,양산시,경남 양산시 동면 내송큰들로141,055-785-0301
52,cheogajip,동래시장점,부산,동래구,부산 동래구 명륜로112번길41,051-555-8485
53,cheogajip,송탄신장점,경기,평택시,경기 평택시 지산로11번길6,031-666-2095
54,cheogajip,일동점,경기,안산시,경기 안산시 상록구 석삼말로19,031-408-0819
55,cheogajip,풍무역점,경기,김포시,경기 김포시 풍무로176,031-988-4888
56,cheogajip,운남점,인천,중구,인천 중구 흰바위로284,032-751-3355
57,cheogajip,석바위시장역점,인천,남동구,인천 남동구 구월로40번길13,032-710-6424
58,cheogajip,세류2점,경기,수원시,경기 수원시 권선구 정조로431-2,031-222-7292
59,cheogajip,호계점,경기,안양시,경기 안양시 동안구 엘에스로45번길20,031-427-9969
60,cheogajip,강남반포점,서울,서초구,서울 서초구 강남대로79길48,02-545-1005
61,cheogajip,둔촌점,서울,강동구,서울 강동구 명일로13길20,02-476-2016
62,cheogajip,상도점,서울,동작구,서울 동작구 상도로30길19,02-6080-5280
63,cheogajip,남산외대점,부산,금정구,"부산 금정구 남산로28, 1층(남산동, 산정빌딩)",051-517-9989
64,cheogajip,오전점,경기,의왕시,경기 의왕시 전주남이길8,031-427-9989
65,cheogajip,오성점,전남,광양시,전남 광양시 광양읍 예구6길29,061-913-9282
66,cheogajip,망양이편한세상점,울산,울주군,울산 울주군 온양읍 망양3길42,052-238-5127
67,cheogajip,지사동점,부산,강서구,부산 강서구 과학산단로334번길7,051-710-0360
68,cheogajip,중마점,전남,광양시,전남 광양시 길호1길30,061-793-9289
69,cheogajip,개금점,부산,부산진구,부산 부산진구 가야공원로22,051-715-7792
70,cheogajip,사남점,경남,사천시,경남 사천시 사남면 월성1길15-31,055-786-7676
71,cheogajip,낙민수안점,부산,동래구,부산 동래구 수안로8번길35,051-924-0092
72,cheogajip,송절점,충북,청주시,충북 청주시 흥덕구 송화로150번길7-16,043-267-3622
73,cheogajip,의정부용현점,경기,의정부시,경기 의정부시 용민로18,031-853-8539
74,cheogajip,반달섬점,경기,안산시,경기 안산시 단원구 엠티브이17로36,031-8042-2822
75,cheogajip,소사점,경기,부천시,경기 부천시 소사구 호현로455,032-211-9100
76,cheogajip,북위례점,경기,하남시,경기 하남시 위례대로6길20-2,02-402-7292
77,cheogajip,내곡회산점,강원,강릉시,강원 강릉시 범일로579번길29-6,033-643-3744
78,cheogajip,영등포본동점,서울,영등포구,서울 영등포구 영신로9나길17,02-845-0451
79,cheogajip,병방점,인천,계양구,인천 계양구 계양산로215번길20,032-544-5592
80,cheogajip,수청지구점,충남,당진시,충남 당진시 대덕1로102-15,041-355-5566
81,cheogajip,아주대점,경기,수원시,경기 수원시 팔달구 중부대로220번길10,031-217-4941
82,cheogajip,담빛호수점,전남,담양군,전남 담양군 담양읍 태왕3로88-9,061-383-9282
83,cheogajip,동명계림점,광주,동구,광주 동구 필문대로252,062-710-9585
84,cheogajip,범물점,대구,수성구,대구 수성구 범물동1369-11,053-782-7631
85,cheogajip,삼계에버랜드점,경기,용인시,경기 용인시 처인구 포곡읍 포곡로297번길1,031-337-3133
86,cheogajip,연동점,제주,제주시,제주 제주시 사장2길31,064-742-7792
87,cheogajip,완도점,전남,완도군,전남 완도군 완도읍 개포로154-6,061-552-9283
88,cheogajip,지웰복대점,충북,청주시,충북 청주시 흥덕구 증안로22번길13-12,043-236-5444
89,cheogajip,진주혁신도시점,경남,진주시,경남 진주시 충의로119,055-755-1158
90,cheogajip,용이스타필드점,경기,평택시,경기 평택시 현신7길23,031-692-9992
91,cheogajip,센텀점,부산,해운대구,부산 해운대구 해운대로 76번길52,051-784-6667
92,cheogajip,박사로점,강원,춘천시,강원 춘천시 서면 박사로 929,033-242-5485
93,cheogajip,서창2점,인천,남동구,인천 남동구 서창남순환로10번길16-10,032-467-4407
94,cheogajip,작전점,인천,계양구,인천 계양구 주부토로386,032-546-7773
95,cheogajip,삼척교동점,강원,삼척시,강원 삼척시 청석로75-19,033-572-9392
96,cheogajip,신창점,충남,아산시,충남 아산시 신창면 행목로217,041-545-9989
