제목,평점,예매율,개봉일
야당,99%,35.5%,2025.04.16
거룩한 밤: 데몬 헌터스,99%,7.7%,2025.04.30
파과,99%,6.8%,2025.04.30
승부,97%,6.5%,2025.03.26
사유리,97%,5.4%,2025.04.16
A MINECRAFT MOVIE 마인크래프트 무비,99%,4.2%,2025.04.26
해피엔드,99%,3.6%,2025.04.30
플로우,96%,3.4%,2025.03.19
베러맨,85%,2.7%,2025.04.09
아마추어,89%,2.5%,2025.04.09
2025 스타레일 감상회 in CGV 앵콜 상영,96%,2.2%,2025.05.08
2025 ZEROBASEONE FAN-CON [BLUE MANSION] - 생중계,?,2.1%,2025.04.19
드라이브 인 타이페이,77%,2.1%,2025.04.11
2025 스타레일 감상회 in CGV 생방송 특별 상영,99%,1.8%,2025.05.03
은혼 더 파이널,83%,1.5%,2025.04.18
백설공주와 일곱난쟁이,83%,1.2%,2025.04.10
브리짓 존스의 일기: 뉴 챕터,99%,1.0%,2025.04.16
마리아,99%,1.0%,2025.04.16
로비,82%,0.9%,2025.04.02
